,dr7objid,ra,dec,rastring,decstring,sample,gz2_class
909,587739845387747437,227.8994598388672,19.207782745361328,15:11:35.87,+19:12:28.0,original,Ei
978,587739407860826173,198.72784423828125,34.70240020751953,13:14:54.68,+34:42:08.6,original,Er
1040,588009371222409341,158.599853515625,59.38749313354492,10:34:23.96,+59:23:15.0,original,Er
1084,587731887345303749,120.9354248046875,35.34284973144531,08:03:44.50,+35:20:34.3,original,Er
1175,587731513685049436,31.48761749267578,0.7733304500579834,02:05:57.03,+00:46:24.0,stripe82,Er
1196,587729653421178945,246.90708923339844,42.638221740722656,16:27:37.70,+42:38:17.6,original,Ei
1218,587739408387473511,170.09332275390625,35.07096481323242,11:20:22.40,+35:04:15.5,original,Er
1226,587742190440022025,179.7607879638672,25.083213806152344,11:59:02.59,+25:04:59.6,original,Er
1328,587729158984827077,236.82489013671875,2.9568450450897217,15:47:17.97,+02:57:24.6,original,Ei
1342,587738951495712811,208.4340667724609,34.803829193115234,13:53:44.18,+34:48:13.8,original,Er
1403,587742774015885324,165.8740692138672,16.370105743408203,11:03:29.78,+16:22:12.4,original,Sb
1414,587725551744974913,160.06480407714844,65.49197387695312,10:40:15.55,+65:29:31.1,original,Ec
1439,587742773491990601,196.8917999267578,16.356185913085938,13:07:34.03,+16:21:22.3,original,Ei
1459,587725473882439790,158.4453125,62.23705291748047,10:33:46.87,+62:14:13.4,original,Er
1471,587734305416282350,337.052734375,0.5432090759277344,22:28:12.65,+00:32:35.6,stripe82,Er
1491,587725471207063715,130.8217010498047,52.75792694091797,08:43:17.21,+52:45:28.5,original,Er
1519,588018056740536342,254.62521362304688,25.39026260375977,16:58:30.05,+25:23:24.9,original,Ei
1529,587742062161231963,220.44454956054688,19.251956939697266,14:41:46.69,+19:15:07.0,original,Ei
1548,587741710490861651,168.05052185058594,27.624814987182617,11:12:12.13,+27:37:29.3,original,Ei
1560,587731911499448408,140.6228790283203,47.26244354248047,09:22:29.49,+47:15:44.8,original,Er
1566,587735665305911299,212.05734252929688,53.88349151611328,14:08:13.76,+53:53:00.6,original,Ei
1594,587739608627937400,186.3045654296875,32.23377227783203,12:25:13.10,+32:14:01.6,original,Er
1647,587734892746637331,164.9766845703125,9.361897468566896,10:59:54.40,+09:21:42.8,original,Er
1666,587739652645453927,240.4322052001953,20.422758102416992,16:01:43.73,+20:25:21.9,original,Er
1671,587729227683528711,222.2065277099609,62.120826721191406,14:48:49.57,+62:07:15.0,original,Er
1764,587736543099683022,232.9259033203125,7.287391185760498,15:31:42.22,+07:17:14.6,original,Er
1779,588017702923337826,163.3431854248047,11.180673599243164,10:53:22.36,+11:10:50.4,original,Ei
1785,588848900472242519,231.8970642089844,0.2891936302185058,15:27:35.30,+00:17:21.1,original,Sb2t
1797,587733605330255918,218.2856903076172,56.291900634765625,14:33:08.57,+56:17:30.8,original,Er
1798,587722983906148463,222.48910522460935,0.5582960844039917,14:49:57.39,+00:33:29.9,original,Er
1843,587739707957772334,241.4152069091797,18.164352416992188,16:05:39.65,+18:09:51.7,original,Er
1871,587737808493936696,118.18415832519533,45.94927978515625,07:52:44.20,+45:56:57.4,original,Er
1882,588016879902589065,129.3416290283203,28.215085983276367,08:37:21.99,+28:12:54.3,original,Ei
1899,587736962922708999,220.380859375,31.65062713623047,14:41:31.41,+31:39:02.3,original,Er
1975,587741709953925212,167.96485900878906,27.19887351989746,11:11:51.57,+27:11:55.9,original,Er
2067,587732581518672017,166.5964813232422,58.15388107299805,11:06:23.16,+58:09:14.0,original,Ei
2086,587731869089595401,152.15879821777344,50.106231689453125,10:08:38.11,+50:06:22.4,original,Ei
2146,588011122503254137,186.1782073974609,61.47070693969727,12:24:42.77,+61:28:14.5,original,Er
2172,587739131890302989,234.51856994628903,26.281543731689453,15:38:04.46,+26:16:53.6,original,Er
2219,587729227422367898,243.74777221679688,50.34116744995117,16:14:59.46,+50:20:28.2,extra,Ei
2230,587729777449304218,226.03050231933597,-2.0037295818328857,15:04:07.32,-02:00:13.4,original,Er
2240,588017720108187734,184.97445678710935,41.8458137512207,12:19:53.87,+41:50:44.9,original,Ei
2281,587732484363583519,196.51654052734372,50.24972152709961,13:06:03.97,+50:14:59.0,original,Sb
2304,587739406777057319,170.85215759277344,33.829124450683594,11:23:24.52,+33:49:44.8,original,Er
2326,587739407839395949,141.39068603515625,27.34746360778809,09:25:33.76,+27:20:50.9,original,Ec
2342,587726033334239270,207.2734222412109,2.92630386352539,13:49:05.62,+02:55:34.7,original,Er
2347,588295841787478048,184.1035614013672,50.02706146240234,12:16:24.85,+50:01:37.4,original,Er
2446,587739815853883612,241.1813201904297,20.323780059814453,16:04:43.52,+20:19:25.6,original,Ei
2485,587739828739309583,216.9818115234375,24.401451110839844,14:27:55.63,+24:24:05.2,original,Ei
2492,588017721186386018,198.711669921875,41.71310806274414,13:14:50.80,+41:42:47.2,original,Er
2594,588017111289954370,164.40467834472656,45.63444137573242,10:57:37.12,+45:38:04.0,original,Er
2644,587736585498984481,208.0637359619141,40.149147033691406,13:52:15.30,+40:08:56.9,original,Ei
2656,587732578311340137,163.60887145996094,7.142726898193359,10:54:26.13,+07:08:33.8,original,Er
2668,587742014374412376,225.46792602539065,17.707841873168945,15:01:52.30,+17:42:28.2,original,Sb
2715,587733080810717226,175.60205078125,54.774173736572266,11:42:24.49,+54:46:27.0,original,Er
2772,587742571077566494,177.01260375976562,18.64937400817871,11:48:03.02,+18:38:57.7,original,Ei
2787,587731886803845607,113.59255981445312,26.862499237060547,07:34:22.21,+26:51:45.0,original,Ei
2810,587736916214153311,216.8780670166016,13.236326217651367,14:27:30.74,+13:14:10.8,original,Ei
2841,588017606298959968,198.03565979003903,45.42682266235352,13:12:08.56,+45:25:36.6,original,Ei
2864,587728949584920729,151.11289978027344,0.5239776968955994,10:04:27.10,+00:31:26.3,original,Sb
2919,588010359085793482,179.06292724609375,4.967885494232178,11:56:15.10,+04:58:04.4,original,Er
2994,587726100412563518,220.18063354492188,3.374020338058472,14:40:43.35,+03:22:26.5,original,Ec
3001,587736752474358243,252.91297912597656,23.710433959960938,16:51:39.11,+23:42:37.6,original,SBc2t
3005,587725816408768530,158.86524963378906,64.15605926513672,10:35:27.66,+64:09:21.8,original,Ei
3006,587731187798835386,324.1908264160156,1.2490123510360718,21:36:45.80,+01:14:56.4,stripe82,Er
3058,587731500258557961,151.59361267089844,52.81336975097656,10:06:22.47,+52:48:48.1,original,Er
3071,587742629060935725,220.68756103515625,14.922568321228027,14:42:45.01,+14:55:21.2,original,Ec
3118,587733428696055911,217.76255798339844,55.53556823730469,14:31:03.01,+55:32:08.0,original,Ei
3155,588017703489306854,230.83383178710935,8.618036270141602,15:23:20.12,+08:37:04.9,original,Ei
3195,587729158438518874,215.2356109619141,3.871504306793213,14:20:56.55,+03:52:17.4,original,Sb?t
3208,587739154428068144,121.74635314941406,19.85165405273437,08:06:59.12,+19:51:06.0,original,Er
3225,587736478129782877,221.6697235107422,10.165098190307615,14:46:40.73,+10:09:54.4,original,Ei
3266,588017991238484191,231.5883026123047,6.716458320617676,15:26:21.19,+06:42:59.2,original,Er
3369,587726015627001921,228.4462432861328,2.0980300903320312,15:13:47.10,+02:05:52.9,original,Er
3435,587739405713473666,198.76788330078125,33.05873489379883,13:15:04.29,+33:03:31.4,original,Ei
3490,587726031704883210,164.43092346191406,1.5673213005065918,10:57:43.42,+01:34:02.4,original,Ei
3506,588017977831718932,219.7989959716797,33.78530502319336,14:39:11.76,+33:47:07.1,original,Er
3568,587731873389019165,125.48111724853516,38.37746047973633,08:21:55.47,+38:22:38.9,original,Ei
3602,587739506079236236,181.4097137451172,32.82219696044922,12:05:38.33,+32:49:19.9,original,Er
3656,587737808493412646,117.41842651367188,44.89600372314453,07:49:40.42,+44:53:45.6,original,Er
3683,587728930808922243,143.01885986328125,51.55095672607422,09:32:04.53,+51:33:03.4,original,Ei
3718,587732482205089848,158.9336395263672,45.9149169921875,10:35:44.07,+45:54:53.7,original,Ei
3727,587732136996765809,184.3435516357422,53.55651473999024,12:17:22.45,+53:33:23.5,original,Sb+t
3759,587731185651613943,324.80450439453125,-0.5085378885269165,21:39:13.08,+00:30:30.7,stripe82,Er
3783,588015510365929606,52.13829040527344,1.006706714630127,03:28:33.19,+01:00:24.1,stripe82,Er
3801,587728949584986282,151.3151092529297,0.6103177666664124,10:05:15.63,+00:36:37.1,original,Ei
3829,587739305287811105,176.6665496826172,35.7686767578125,11:46:39.97,+35:46:07.2,original,Ei
3887,587739098598932527,181.4970550537109,38.0910758972168,12:05:59.29,+38:05:27.9,original,Er
3937,587722983902609591,214.3665313720703,0.48277547955513,14:17:27.97,+00:28:58.0,original,Er
3986,587738409259303015,168.19479370117188,13.400360107421877,11:12:46.75,+13:24:01.3,original,Ei
4008,587732483292987440,206.9442138671875,47.77840805053711,13:47:46.61,+47:46:42.3,original,Ei
4017,587729408082379199,255.75559997558597,34.471214294433594,17:03:01.34,+34:28:16.4,original,Ei
4110,587736914605965569,222.29624938964844,11.115235328674316,14:49:11.10,+11:06:54.8,original,Sb3m
4111,587739608096309325,200.2025451660156,30.75769424438477,13:20:48.61,+30:45:27.7,original,Ei
4126,587739305288663089,178.99118041992188,36.09280776977539,11:55:57.88,+36:05:34.1,original,Er
4183,587736477055909972,221.2479248046875,9.470964431762695,14:44:59.50,+09:28:15.5,original,Er
4221,587731680121192485,139.9956512451172,45.07096481323242,09:19:58.96,+45:04:15.5,original,Ei
4226,587731869095231586,172.17495727539062,54.17226409912109,11:28:41.99,+54:10:20.2,original,Er
4235,587739809946796193,205.6381683349609,25.344900131225582,13:42:33.16,+25:20:41.6,original,Ei
4250,587739303148388361,198.9234161376953,33.761741638183594,13:15:41.62,+33:45:42.3,original,Ei
4271,587730023333888279,232.0206451416016,5.741172790527344,15:28:04.95,+05:44:28.2,original,Ei
4283,587732048943841411,138.08094787597656,46.38307571411133,09:12:19.43,+46:22:59.1,original,Er
4331,587739844848844853,223.0459442138672,20.07666015625,14:52:11.03,+20:04:36.0,original,Er
4340,587734950205718710,159.80479431152344,12.191933631896973,10:39:13.15,+12:11:31.0,original,Ser
4361,587734623248384060,144.52529907226562,40.296024322509766,09:38:06.07,+40:17:45.7,original,Er
4372,587741600949665834,162.941650390625,25.06479835510254,10:51:46.00,+25:03:53.3,original,Er
4438,588297863634878828,120.81884002685548,24.67677879333496,08:03:16.52,+24:40:36.4,original,Ei
4546,587733428164231205,233.10748291015625,48.83327102661133,15:32:25.80,+48:49:59.8,original,Ei
4575,587728930803548202,129.0959930419922,43.4735107421875,08:36:23.04,+43:28:24.6,original,Er
4597,587741488764813433,177.62208557128906,28.594572067260746,11:50:29.30,+28:35:40.5,original,Er
4613,587742012764520518,226.8420867919922,16.25043487548828,15:07:22.10,+16:15:01.6,original,Er
4645,588018090011263001,248.4478912353516,25.60662651062012,16:33:47.49,+25:36:23.9,original,Ei
4717,587738067262046698,110.90421295166016,41.69552230834961,07:23:37.01,+41:41:43.9,original,Ei
4741,587742550142681326,216.6257476806641,16.606670379638672,14:26:30.18,+16:36:24.0,original,Ei
4764,588848898848522251,201.8415679931641,-1.008650541305542,13:27:21.98,-01:00:31.1,original,Ec
4790,587739810491138188,224.04266357421875,21.99233055114746,14:56:10.24,+21:59:32.4,original,Er
4805,587742014359076890,188.39927673339844,22.801143646240234,12:33:35.83,+22:48:04.1,original,Er
4838,587739381789032557,208.25852966308597,33.09125518798828,13:53:02.05,+33:05:28.5,original,Er
4856,587734863756722320,153.2335662841797,9.20119285583496,10:12:56.06,+09:12:04.3,original,Ei
4860,588017978349125750,164.5028533935547,37.76846694946289,10:58:00.68,+37:46:06.5,original,Ec
4871,587742775085301861,155.67137145996094,15.939407348632812,10:22:41.13,+15:56:21.9,original,Er
4980,587725550656422067,117.59223175048828,41.2650260925293,07:50:22.14,+41:15:54.1,original,Sc?t
5022,588017979454259216,247.5856475830078,21.799806594848636,16:30:20.56,+21:47:59.3,original,Ei
5032,588017604165173450,234.88784790039065,32.09397888183594,15:39:33.08,+32:05:38.3,original,Er
5051,587733608548991116,236.65284729003903,46.53299331665039,15:46:36.68,+46:31:58.8,original,Er
5070,588017111828987964,171.24464416503906,47.14352416992188,11:24:58.71,+47:08:36.7,original,SBb
5077,587745538911109277,159.00428771972656,14.9564847946167,10:36:01.03,+14:57:23.3,original,Er
5124,587741391032156225,136.07806396484375,22.45007705688477,09:04:18.74,+22:27:00.3,original,Ei
5158,587739811037577378,245.74041748046875,14.676658630371094,16:22:57.70,+14:40:36.0,original,Ei
5184,587736542557044800,219.64927673339844,8.272042274475098,14:38:35.83,+08:16:19.4,original,Ei
5188,587729752748589500,257.53448486328125,30.83141326904297,17:10:08.28,+30:49:53.1,original,Ei
5195,587739608100110362,210.08409118652344,29.32274055480957,14:00:20.18,+29:19:21.9,original,Ei
5263,587741532764962865,122.24103546142578,14.624960899353027,08:08:57.85,+14:37:29.9,original,Er
5278,588017605230329908,213.41604614257807,41.69036483764648,14:13:39.85,+41:41:25.3,original,Er
5287,588015509818835068,28.827733993530277,0.4867560565471649,01:55:18.66,+00:29:12.3,stripe82,Er
5292,587736546852339856,235.22573852539065,5.142543792724609,15:40:54.18,+05:08:33.2,original,Ei
5301,587742590405050512,241.2725830078125,11.95006275177002,16:05:05.42,+11:57:00.2,original,Er
5306,588017603614212127,196.3548583984375,43.45108795166016,13:05:25.17,+43:27:03.9,original,Ei
5376,588010135194697872,143.88853454589844,54.49907684326172,09:35:33.25,+54:29:56.7,original,Er
5452,587739827132170503,225.0069732666016,21.01366806030273,15:00:01.67,+21:00:49.2,original,Sb
5456,587732591179137181,184.1450958251953,60.36481094360352,12:16:34.82,+60:21:53.3,original,Sb?t
5486,587738948290019381,171.86468505859375,40.06930160522461,11:27:27.52,+40:04:09.5,original,Er(l)
5673,588017712050667549,215.34654235839844,47.918434143066406,14:21:23.17,+47:55:06.4,original,Ei
5694,587742551220158467,225.43296813964844,15.864683151245115,15:01:43.91,+15:51:52.9,original,Ei
5721,587739165700653322,242.4174652099609,21.8604679107666,16:09:40.19,+21:51:37.7,original,Er
5823,588017979434270915,197.97792053222656,39.88007736206055,13:11:54.70,+39:52:48.3,original,Ei
5838,587728949047197870,149.21417236328125,0.2087930738925933,09:56:51.40,+00:12:31.7,original,Er
5942,587741816235491658,127.11944580078124,13.686528205871582,08:28:28.67,+13:41:11.5,original,Er
5969,587742865280729131,166.4822540283203,17.34670066833496,11:05:55.74,+17:20:48.1,original,SBb2m
5988,587746209446887627,163.13113403320312,8.750171661376953,10:52:31.47,+08:45:00.6,original,Er
6083,588017977823592565,197.6166076660156,38.58251953125,13:10:27.99,+38:34:57.1,original,Er
6100,587738065656545566,120.00946044921876,51.60245132446289,08:00:02.27,+51:36:08.8,original,Ei
6137,588017626165477672,215.9647216796875,40.25883865356445,14:23:51.53,+40:15:31.8,original,Ei
6146,587725504486310027,261.1784973144531,53.85514831542969,17:24:42.84,+53:51:18.5,original,Ei
6167,587734893826998406,180.35549926757807,10.637885093688965,12:01:25.32,+10:38:16.4,original,Ei
6400,587742552289312865,214.84622192382807,18.60191345214844,14:19:23.09,+18:36:06.9,original,Er
6562,587736477596909709,230.7932586669922,8.505348205566406,15:23:10.38,+08:30:19.3,original,Er
6659,587729387691245602,191.0982666015625,60.34925079345703,12:44:23.58,+60:20:57.3,original,Er
6815,587739845928484907,236.8318634033203,16.789857864379883,15:47:19.65,+16:47:23.5,original,Ei
6852,587732153106694254,147.44833374023438,43.54774475097656,09:49:47.60,+43:32:51.9,original,Er
6877,587732702869192835,167.77806091308594,7.583282470703125,11:11:06.73,+07:34:59.8,original,Er
6891,587729971251118379,219.6903381347656,-1.9169940948486328,14:38:45.68,-01:55:01.2,original,SBb2t
7018,587735694837088262,200.79083251953125,55.230655670166016,13:23:09.80,+55:13:50.4,original,Er
7046,587734690888810593,139.51612854003906,6.956364154815674,09:18:03.87,+06:57:22.9,original,Ei
7071,587739457226997919,225.1912078857422,24.957244873046875,15:00:45.89,+24:57:26.1,original,Er
7086,587742550675423315,206.89659118652344,18.485280990600582,13:47:35.18,+18:29:07.0,original,Er
7271,587732483811705016,146.49497985839844,43.30494689941406,09:45:58.80,+43:18:17.8,original,Er
7294,588017978356727928,186.60894775390625,39.75410461425781,12:26:26.15,+39:45:14.8,original,Ei
7343,587725074455855381,140.68724060058594,-0.3488321900367737,09:22:44.94,+00:20:55.8,original,Ei
7366,588011218596462724,195.89114379882807,62.14338302612305,13:03:33.87,+62:08:36.2,original,Ec
7452,587733441048739910,238.5109100341797,42.498931884765625,15:54:02.62,+42:29:56.2,original,Ei
7478,587735666376048659,198.5818328857422,57.17375564575195,13:14:19.64,+57:10:25.5,original,Ei
7487,588017722250756175,169.6446075439453,42.4213752746582,11:18:34.71,+42:25:17.0,original,Er
7561,588017702400753678,196.5802001953125,11.22771453857422,13:06:19.25,+11:13:39.8,original,Sb
7607,587739646745116786,167.52957153320312,30.715412139892575,11:10:07.10,+30:42:55.5,original,Er
7636,587741709403488537,135.35902404785156,18.973220825195312,09:01:26.17,+18:58:23.6,original,Sc?t
7714,587742014336139518,133.45742797851562,14.873907089233398,08:53:49.78,+14:52:26.1,original,Er
7766,587734623241240798,127.82704162597656,31.162691116333008,08:31:18.49,+31:09:45.7,original,Ei
7772,588297865262399543,161.3682403564453,45.67837142944336,10:45:28.38,+45:40:42.1,original,Er
7777,587726032800514211,214.4841766357422,2.307736873626709,14:17:56.20,+02:18:27.9,original,Ei
7816,587739302605357159,181.97357177734372,34.036869049072266,12:07:53.66,+34:02:12.7,extra,Ec
7863,587742615635099871,239.3496551513672,15.206859588623049,15:57:23.92,+15:12:24.7,original,Er
7894,588018090548133993,248.86126708984372,25.929128646850582,16:35:26.70,+25:55:44.9,original,Sc
7900,587731522822537313,149.06686401367188,50.19975662231445,09:56:16.05,+50:11:59.1,original,Sb
7916,587727942953402551,134.52059936523438,1.1537415981292725,08:58:04.94,+01:09:13.5,original,Er
7917,587735347489210391,156.27772521972656,12.414718627929688,10:25:06.65,+12:24:53.0,original,Er
7937,587739376154509557,120.15553283691406,15.869458198547363,08:00:37.33,+15:52:10.0,original,Ei
8014,587729407536136290,237.4558563232422,51.39874649047852,15:49:49.41,+51:23:55.5,original,Er
8103,587735742617747717,243.37530517578125,29.143388748168945,16:13:30.07,+29:08:36.2,original,Ec
8109,587741708868386856,139.41995239257812,19.918872833251957,09:17:40.79,+19:55:07.9,original,Ser
8118,587735665852088374,239.19874572753903,42.297698974609375,15:56:47.70,+42:17:51.7,original,Er
8166,587738066189942843,113.86532592773438,44.7019157409668,07:35:27.68,+44:42:06.9,original,Er
8173,587738572457967737,194.20297241210935,38.5887451171875,12:56:48.71,+38:35:19.5,original,Ei
8223,587733411527393538,236.03648376464844,42.434452056884766,15:44:08.76,+42:26:04.0,original,Er
8279,587742015431442460,184.95379638671875,23.60150146484375,12:19:48.91,+23:36:05.4,original,Er
8285,587722984432402610,198.22808837890625,1.0359760522842407,13:12:54.74,+01:02:09.5,original,Er
8331,587736962922840275,220.87661743164065,31.59940528869629,14:43:30.39,+31:35:57.9,original,Er
8394,587742012744269857,178.1476593017578,21.31155776977539,11:52:35.44,+21:18:41.6,original,Ei
8418,588010136266342446,136.90675354003906,52.11515045166016,09:07:37.62,+52:06:54.5,original,Er
8621,587732771043999832,155.8092498779297,8.396122932434082,10:23:14.22,+08:23:46.0,original,Sen
8641,587733398103064727,229.7743377685547,45.03218078613281,15:19:05.84,+45:01:55.9,original,Er
8682,587736542020043040,219.34564208984372,8.063520431518555,14:37:22.95,+08:03:48.7,original,Ei
8879,587741602033631242,188.88995361328125,27.54962730407715,12:35:33.59,+27:32:58.7,original,Er
8953,588007005807837240,253.61997985839844,39.37197494506836,16:54:28.80,+39:22:19.1,original,Er
8971,587728879268200473,157.91366577148438,3.789693355560303,10:31:39.28,+03:47:22.9,original,Er
8983,587738952569782544,209.693115234375,35.43979263305664,13:58:46.35,+35:26:23.3,original,Er
9013,587739829276639392,218.23812866210935,24.41907501220703,14:32:57.15,+24:25:08.7,original,Ei
9031,587731679045550243,135.8075714111328,41.8344955444336,09:03:13.82,+41:50:04.2,extra,SBc2m
9074,587742015419645989,155.95701599121094,20.98480796813965,10:23:49.68,+20:59:05.3,original,Ei
9206,587738950959104047,209.049072265625,34.24264144897461,13:56:11.78,+34:14:33.5,original,Er
9238,588016841785999585,132.52239990234375,30.228370666503903,08:50:05.38,+30:13:42.1,original,Er
9246,587735695378284702,216.9897918701172,52.34833908081055,14:27:57.55,+52:20:54.0,original,Er
9264,587738410321313964,140.87847900390625,10.838068962097168,09:23:30.83,+10:50:17.0,original,Ec
9281,588015507664928792,14.075617790222168,-1.2418426275253296,00:56:18.15,-01:14:30.6,stripe82,Er
9322,587739504478388253,207.34490966796875,29.593164443969727,13:49:22.78,+29:35:35.4,original,Ei
9340,587742190976630917,179.18408203125,25.476621627807617,11:56:44.18,+25:28:35.8,original,Er
9363,587738372745330981,123.84293365478516,22.729310989379883,08:15:22.30,+22:43:45.5,original,Sb
9387,587729653425701151,254.7718963623047,34.33649444580078,16:59:05.26,+34:20:11.4,original,Er
9471,587739844856643786,240.8468780517578,14.524543762207031,16:03:23.25,+14:31:28.4,original,Ei
9530,587742551219372135,223.67303466796875,16.226699829101562,14:54:41.53,+16:13:36.1,original,Er
9614,587735349645344805,176.5457000732422,15.798019409179688,11:46:10.97,+15:47:52.9,original,Ei
9645,587733441056407825,253.3701934814453,29.625253677368164,16:53:28.85,+29:37:30.9,original,Er
9674,587730023331332188,226.23617553710935,6.130214214324951,15:04:56.68,+06:07:48.8,original,Er
9877,587725816426463321,239.51449584960935,52.99390411376953,15:58:03.48,+52:59:38.1,original,Ei
9925,587736782537359808,249.85629272460935,26.609838485717773,16:39:25.51,+26:36:35.4,original,Ei
9929,587739609173983338,210.7159118652344,29.94527816772461,14:02:51.82,+29:56:43.0,original,Er
9941,587742060518703316,143.2711639404297,16.36829948425293,09:33:05.08,+16:22:05.9,original,Ei
9951,587742775630364768,175.02349853515625,18.22327423095703,11:40:05.64,+18:13:23.8,original,Er
9960,587732578846048470,158.51307678222656,7.220286846160889,10:34:03.14,+07:13:13.0,original,Ei
9966,587741531710619773,168.00743103027344,27.84828758239746,11:12:01.78,+27:50:53.8,original,Ei
10021,588010135727243545,131.6627960205078,48.37493896484375,08:46:39.07,+48:22:29.8,original,Sc
10022,588017570847719523,189.60455322265625,12.61061954498291,12:38:25.09,+12:36:38.2,original,Sb
10035,587725552288596060,199.2001037597656,67.4732437133789,13:16:48.02,+67:28:23.7,original,Ei
10073,588017990156681294,213.15155029296875,7.827578067779541,14:12:36.37,+07:49:39.3,original,Sc?t
10084,588011219135496257,206.2971343994141,61.45687103271485,13:45:11.31,+61:27:24.7,original,Sb2t
10097,587725471208046730,133.4815216064453,54.355106353759766,08:53:55.57,+54:21:18.4,original,Ei
10103,587726031722315945,204.33226013183597,1.6817333698272705,13:37:19.74,+01:40:54.2,original,Er
10125,587739406793900130,216.5762939453125,30.40325355529785,14:26:18.31,+30:24:11.7,original,Ei
10130,587742576446865663,196.01727294921875,19.294960021972656,13:04:04.15,+19:17:41.9,original,Sb
10143,587739721380266215,233.6895294189453,21.321800231933597,15:34:45.49,+21:19:18.5,original,Ei
10185,587741709421117487,178.38108825683594,27.68432235717773,11:53:31.46,+27:41:03.6,original,Ei
10233,587735696448225368,203.56298828125,56.25143432617188,13:34:15.12,+56:15:05.2,original,Er
10242,587732153104269438,140.8695831298828,40.75890350341797,09:23:28.70,+40:45:32.1,original,Er
10276,588023669709406236,185.8611297607422,20.37387084960937,12:23:26.67,+20:22:25.9,original,Ei
10301,587725551748907156,182.3113555908203,67.64037322998047,12:09:14.73,+67:38:25.3,original,Ei
10357,587736545775911101,229.0100250244141,4.791482925415039,15:16:02.41,+04:47:29.3,original,Er
10374,588017713387733035,198.4763641357422,52.32835388183594,13:13:54.33,+52:19:42.1,original,Er
10392,587730845815406938,317.089599609375,-1.1370078325271606,21:08:21.50,-01:08:13.2,stripe82,SBb2m
10458,588009371761573965,168.27743530273438,61.63833999633789,11:13:06.58,+61:38:18.0,original,Er
10465,588018253214515235,222.88864135742188,45.43845748901367,14:51:33.27,+45:26:18.4,original,Ei
10484,588017702939132222,200.2338409423828,11.584617614746094,13:20:56.12,+11:35:04.6,original,Er
10513,588017948817293416,191.48118591308597,42.56198120117188,12:45:55.48,+42:33:43.1,original,Ei
